Reporte de horas con menor tráfico
['"2004-11-19 22:30:00"', '45387.152']
['"2004-11-20 07:30:00"', '31597']
['"2004-11-21 07:30:00"', '22618.117']
['"2004-11-22 05:30:00"', '37518.327']
['"2004-11-23 05:30:00"', '43460.824']
['"2004-11-24 06:30:00"', '45270.163']
['"2004-11-25 05:30:00"', '27960.347']
['"2004-11-26 06:30:00"', '26178.832']
['"2004-11-27 07:30:00"', '25728.566']
['"2004-11-28 07:30:00"', '24802.086']
['"2004-11-29 06:30:00"', '28501.095']
['"2004-11-30 06:30:00"', '26245.195']
['"2004-12-01 06:30:00"', '30168.753']
['"2004-12-02 06:30:00"', '36125.825']
['"2004-12-03 06:30:00"', '45399.898']
['"2004-12-04 06:30:00"', '29702.747']
['"2004-12-05 07:30:00"', '28932.115']
['"2004-12-06 06:30:00"', '28847.186']
['"2004-12-07 06:30:00"', '29031.481']
['"2004-12-08 06:30:00"', '26418.377']
['"2004-12-09 05:30:00"', '28610.709']
['"2004-12-10 04:30:00"', '35010.504']
['"2004-12-11 06:30:00"', '29855.901']
['"2004-12-12 07:30:00"', '28201.572']
['"2004-12-13 05:30:00"', '29176.601']
['"2004-12-14 06:30:00"', '28815.322']
['"2004-12-15 06:30:00"', '25532.123']
['"2004-12-16 06:30:00"', '23953.868']
['"2004-12-17 05:30:00"', '27567.438']
['"2004-12-18 06:30:00"', '21979.348']
['"2004-12-19 07:30:00"', '21782.322']
['"2004-12-20 06:30:00"', '19097.233']
['"2004-12-21 06:30:00"', '20403.919']
['"2004-12-22 06:30:00"', '18701.43']
['"2004-12-23 06:30:00"', '16945.357']
['"2004-12-24 06:30:00"', '15887.429']
['"2004-12-25 05:30:00"', '14152.229']
['"2004-12-26 13:30:00"', '18775.397']
['"2004-12-27 06:30:00"', '13486.742']
['"2004-12-28 06:30:00"', '13321.255']
['"2004-12-29 06:30:00"', '17418.067']
['"2004-12-30 06:30:00"', '16273.429']
['"2004-12-31 06:30:00"', '15807.881']
['"2005-01-01 06:30:00"', '13976.59']
['"2005-01-02 07:30:00"', '15980.663']
['"2005-01-03 07:30:00"', '16693.351']
['"2005-01-04 06:30:00"', '15742.976']
['"2005-01-05 05:30:00"', '18331.986']
['"2005-01-06 06:30:00"', '20406.704']
['"2005-01-07 05:30:00"', '20063.59']
['"2005-01-08 07:30:00"', '21444.687']
['"2005-01-09 07:30:00"', '23111.603']
['"2005-01-10 04:30:00"', '24342.043']
['"2005-01-11 05:30:00"', '27146.78']
['"2005-01-12 06:30:00"', '25804.474']
['"2005-01-13 05:30:00"', '26094.477']
['"2005-01-14 06:30:00"', '24334.843']
['"2005-01-15 06:30:00"', '24103']
['"2005-01-16 07:30:00"', '25271.115']
['"2005-01-17 05:30:00"', '23937.978']
['"2005-01-18 06:30:00"', '28727.922']
['"2005-01-19 06:30:00"', '30074.836']
['"2005-01-20 06:30:00"', '28500.807']
['"2005-01-21 06:30:00"', '30830.23']
['"2005-01-22 06:30:00"', '29459.922']
['"2005-01-23 07:30:00"', '28949.303']
['"2005-01-24 05:30:00"', '27662.765']
['"2005-01-25 06:30:00"', '25677.458']
['"2005-01-26 06:30:00"', '29657.876']
['"2005-01-27 05:30:00"', '27760.294']
La hora con mayor frecuencia de menor tráfico es 6:30
